Symbol,Total Return,Annual Return (CAGR),Sharpe Ratio,Maximum Drawdown,Win Rate,Profit-Loss Ratio,Profit Factor,Calmar Ratio,Expected Value,Avg. PnL per Trade,Pareto Ratio,B&H Return,B&H CAGR,B&H Sharpe,B&H Max DD
XLK,4.8377544802530865,0.24150031630634738,1.153401326381871,-0.3143896644433267,0.8,7.2746135980064475,29.09845439202579,0.768156029346446,48377.54480253087,48377.54480253087,0.43846222369871307,3.707248979771748,0.20916545057529223,0.8581400895464122,-0.33574766355140184
XLV,0.7673413836502871,0.07231685328025295,0.5736759886617111,-0.25130295706269534,0.75,3.5117020006276056,10.535106001882816,0.2877676177213118,9591.76729562859,9591.76729562859,0.5514794432869525,1.1532622471085898,0.09860076867787804,0.6287021817865901,-0.2840610205155182
XLI,0.8458131860686551,0.07804375438327504,0.6245624931500482,-0.38379796870559135,0.5,5.758948333584209,5.758948333584209,0.20334592870954418,10572.664825858188,10572.664825858188,0.6376356671941303,1.6563529072591914,0.12725003537202717,0.6719693156849569,-0.42341993020550606
VGT,5.02465764894372,0.24630660394882042,1.1787005407442264,-0.31944836990543846,0.8,7.6305193008062915,30.522077203225166,0.7710372853733168,50246.57648943719,50246.57648943719,0.45120811078933937,3.7436785669655945,0.21030890007042258,0.8596589207771513,-0.3507503801485333
SSO,7.863888031781546,0.30672751863874104,1.1307787191447074,-0.462795936654004,0.6,19.554934045742296,29.332401068613446,0.6627705525168797,78638.88031781546,78638.88031781546,0.4230192060974604,3.5695132922989554,0.20477083063956236,0.6786325473630804,-0.5932721712538227
TQQQ,6.353956300261017,0.2771480461776923,0.7083728297136571,-0.815741435336955,0.5,79.87852942402846,79.87852942402846,0.33974986947084757,158848.90750652546,158848.90750652546,1.0126777211403661,8.007202886016355,0.3092997237937902,0.7407439366222441,-0.8157441574415745
QLD,6.570354501014941,0.2816973759867907,0.779935859480619,-0.6368253069936789,1.0,inf,inf,0.4423463905927765,328517.72505074705,328517.72505074705,1.0,6.279863818035477,0.2755633871067569,0.7516095718410342,-0.6368202664337191
SPXL,5.1988150144766365,0.25066879298496825,0.7082963348343699,-0.6380263340367479,0.5,30.08422135421632,30.08422135421632,0.3928815780988292,129970.3753619159,129970.3753619159,1.0343829043184967,4.210168938724949,0.2243083151950065,0.6462634362836752,-0.7686097427476738
SOXL,6.504327584842554,0.2803215232685996,0.7123913043842385,-0.8788192235036111,0.25,90.61417244314461,30.20472414771487,0.3189751837141598,81304.09481053191,81304.09481053191,1.0342410356263627,5.869646212684816,0.2665248647118934,0.7531208856379168,-0.9045736871823828
TNA,0.5288967988201327,0.05343074683349647,0.3233652012258591,-0.5667778575654034,0.16666666666666666,12.55016175645339,2.510032351290678,0.09427105544138308,4407.473323501106,4407.473323501106,1.6622374673928444,-0.19348254672124066,-0.02601957822944423,0.33599767536891617,-0.8808385835324788
IWR,1.979219825246071,0.14321555713231282,0.964121482360169,-0.29430304238348437,0.75,8.5238066596562,25.571419978968603,0.4866261523239685,24740.247815575884,24740.247815575884,0.3694272375960536,1.2175562661158978,0.10257091582736,0.5765179075613004,-0.40597539543058003
SCHG,3.6195623271050126,0.20638098197458454,1.1326795715947369,-0.3137171152094054,0.6,15.49422506483971,23.241337597259566,0.657856941712682,36195.62327105013,36195.62327105013,0.5274802314424154,2.6465648914727216,0.1719004173029739,0.7996876419486181,-0.3457394711067582
IWF,3.3448136952058976,0.19734555755421423,1.1237130963861512,-0.3036992150285278,0.6,13.542514565498626,20.313771848247942,0.6498059520360522,33448.13695205898,33448.13695205898,0.5033500208945902,2.5485046297359095,0.16799026082267488,0.8019764371505005,-0.32721672021463355
MTUM,2.169558836418721,0.1519291999222323,0.9190682753668863,-0.3160799058753946,0.75,9.868473939792526,29.60542181937758,0.4806670626576497,27119.485455234008,27119.485455234008,0.43492813334249064,1.691735202220646,0.1290802852877173,0.6559777013381368,-0.3408736349453978
VYM,1.3773802553333527,0.1120189703428367,0.893584581902609,-0.2675889676161922,0.75,5.51146428184149,16.53439284552447,0.4186232763658163,17217.25319166691,17217.25319166691,0.3923073553376537,1.3051421941307173,0.10781987602743892,0.6719858344081943,-0.3520324173736862
SCHD,1.411451752914466,0.11396076845946146,0.8145153421760216,-0.2937573819355497,0.75,5.1467708608027145,15.440312582408144,0.38794180322748256,17643.146911430824,17643.146911430824,0.43326504945449545,1.4172204819880325,0.1142871534355887,0.6911534189216288,-0.3335423197492162
NOBL,1.0642266942002139,0.09292748927404415,0.7021939422248982,-0.2901115785515632,0.75,4.280283793200205,12.840851379600615,0.3203163752994698,13302.833677502673,13302.833677502673,0.48972686613625765,1.1064000356145396,0.09564096183532822,0.6032682358355267,-0.3543588217792324
