date,adjusted_close
2021-01-04,347.2548
2021-01-05,349.6465
2021-01-06,351.7369
2021-01-07,356.9628
2021-01-08,358.9966
2021-01-11,356.5767
2021-01-12,356.6521
2021-01-13,357.6125
2021-01-14,356.3602
2021-01-15,353.7613
2021-01-19,356.5391
2021-01-20,361.4731
2021-01-21,361.8026
2021-01-22,360.5221
2021-01-25,361.9439
2021-01-26,361.3789
2021-01-27,352.5466
2021-01-28,355.5786
2021-01-29,348.4601
2021-02-01,354.2604
2021-02-02,359.2697
2021-02-03,359.5522
2021-02-04,363.6388
2021-02-05,365.07
2021-02-08,367.7065
2021-02-09,367.4617
2021-02-10,367.3016
2021-02-11,367.8948
2021-02-12,369.7121
2021-02-16,369.392
2021-02-17,369.4767
2021-02-18,367.9042
2021-02-19,367.2545
2021-02-22,364.4297
2021-02-23,364.8723
2021-02-24,368.8929
2021-02-25,360.0042
2021-02-26,358.1492
2021-03-01,366.8308
2021-03-02,363.9683
2021-03-03,359.1473
2021-03-04,354.7029
2021-03-05,361.2283
2021-03-08,359.4298
2021-03-09,364.5615
2021-03-10,366.8308
2021-03-11,370.5502
2021-03-12,371.0492
2021-03-15,373.262
2021-03-16,372.7912
2021-03-17,374.0623
2021-03-18,368.6199
2021-03-19,367.9378
2021-03-22,370.8758
2021-03-23,367.9567
2021-03-24,366.0862
2021-03-25,368.1456
2021-03-26,374.0783
2021-03-29,373.8893
2021-03-30,372.8974
2021-03-31,374.4089
2021-04-01,378.4522
2021-04-05,383.8842
2021-04-06,383.6574
2021-04-07,384.1014
2021-04-08,385.9247
2021-04-09,388.7304
2021-04-12,388.8721
2021-04-13,390.0246
2021-04-14,388.6926
2021-04-15,392.8682
2021-04-16,394.1813
2021-04-19,392.2447
2021-04-20,389.3728
2021-04-21,393.0571
2021-04-22,389.4673
2021-04-23,393.69
2021-04-26,394.5119
2021-04-27,394.4269
2021-04-28,394.3135
2021-04-29,396.8264
2021-04-30,394.2191
2021-05-03,395.0693
2021-05-04,392.632
2021-05-05,392.7548
2021-05-06,395.8912
2021-05-07,398.7725
2021-05-10,394.8237
2021-05-11,391.3
2021-05-12,382.9867
2021-05-13,387.5873
2021-05-14,393.5389
2021-05-17,392.5375
2021-05-18,389.1555
2021-05-19,388.1353
2021-05-20,392.3108
2021-05-21,391.9896
2021-05-24,395.9856
2021-05-25,395.1071
2021-05-26,395.8912
2021-05-27,396.099
2021-05-28,396.8075
2021-06-01,396.458
2021-06-02,397.0815
2021-06-03,395.6078
2021-06-04,399.2259
2021-06-07,398.8386
2021-06-08,398.9236
2021-06-09,398.3285
2021-06-10,400.1801
2021-06-11,400.8413
2021-06-14,401.7388
2021-06-15,401.0019
2021-06-16,398.763
2021-06-17,398.6308
2021-06-18,393.2531
2021-06-21,398.8829
2021-06-22,401.0154
2021-06-23,400.532
2021-06-24,402.9015
2021-06-25,404.3326
2021-06-28,405.1477
2021-06-29,405.3657
2021-06-30,405.7069
2021-07-01,407.9531
2021-07-02,411.0713
2021-07-06,410.3226
2021-07-07,411.7727
2021-07-08,408.4175
2021-07-09,412.7773
2021-07-12,414.2559
2021-07-13,412.8437
2021-07-14,413.4597
2021-07-15,412.0475
2021-07-16,408.8156
2021-07-19,402.7783
2021-07-20,408.5502
2021-07-21,411.858
2021-07-22,412.7205
2021-07-23,416.9665
2021-07-26,417.9901
2021-07-27,416.0851
2021-07-28,415.9145
2021-07-29,417.6395
2021-07-30,415.6112
2021-08-02,414.7392
2021-08-03,418.1133
2021-08-04,416.0567
2021-08-05,418.6915
2021-08-06,419.3834
2021-08-09,419.0422
2021-08-10,419.5634
2021-08-11,420.606
2021-08-12,421.8666
2021-08-13,422.6343
2021-08-16,423.6294
2021-08-17,420.8524
2021-08-18,416.2462
2021-08-19,416.8907
2021-08-20,420.2079
2021-08-23,423.9043
2021-08-24,424.5772
2021-08-25,425.4681
2021-08-26,422.9565
2021-08-27,426.7381
2021-08-30,428.6147
2021-08-31,427.9797
2021-09-01,428.2072
2021-09-02,429.5246
2021-09-03,429.4204
2021-09-07,427.885
2021-09-08,427.3637
2021-09-09,425.5345
2021-09-10,422.1793
2021-09-13,423.2598
2021-09-14,420.9756
2021-09-15,424.4919
2021-09-16,423.819
2021-09-17,419.6905
2021-09-20,412.6925
2021-09-21,412.3027
2021-09-22,416.3246
2021-09-23,421.383
2021-09-24,422.0771
2021-09-27,420.8695
2021-09-28,412.3883
2021-09-29,413.0824
2021-09-30,408.0335
2021-10-01,412.8827
2021-10-04,407.5581
2021-10-05,411.7988
2021-10-06,413.5102
2021-10-07,417.0853
2021-10-08,416.3246
2021-10-11,413.3106
2021-10-12,412.2932
2021-10-13,413.7765
2021-10-14,420.7364
2021-10-15,423.9407
2021-10-18,425.1958
2021-10-19,428.4761
2021-10-20,430.159
2021-10-21,431.281
2021-10-22,430.8341
2021-10-25,433.1446
2021-10-26,433.5344
2021-10-27,431.6138
2021-10-28,435.7784
2021-10-29,436.6626
2021-11-01,437.4138
2021-11-02,439.1823
2021-11-03,441.8636
2021-11-04,443.9459
2021-11-05,445.4862
2021-11-08,445.8665
2021-11-09,444.3928
2021-11-10,440.8177
2021-11-11,440.9603
2021-11-12,444.2882
2021-11-15,444.4403
2021-11-16,446.1993
2021-11-17,445.1154
2021-11-18,446.6272
2021-11-19,445.8285
2021-11-22,444.5734
2021-11-23,445.1629
2021-11-24,446.3514
2021-11-26,436.3964
2021-11-29,441.7495
2021-11-30,433.1541
2021-12-01,428.343
2021-12-02,434.9036
2021-12-03,431.1194
2021-12-06,436.2252
2021-12-07,445.2485
2021-12-08,446.4275
2021-12-09,443.4134
2021-12-10,447.5875
2021-12-13,443.6226
2021-12-14,440.5705
2021-12-15,447.4544
2021-12-16,443.5085
2021-12-17,438.7883
2021-12-20,434.1225
2021-12-21,441.832
2021-12-22,446.2498
2021-12-23,449.0264
2021-12-27,455.3811
2021-12-28,455.009
2021-12-29,455.591
2021-12-30,454.3315
2021-12-31,453.1865
2022-01-03,455.8104
2022-01-04,455.6578
2022-01-05,446.9082
2022-01-06,446.4883
2022-01-07,444.7231
2022-01-10,444.1697
2022-01-11,448.2154
2022-01-12,449.4271
2022-01-13,443.2347
2022-01-14,443.4159
2022-01-18,435.5632
2022-01-19,431.0405
2022-01-20,426.2697
2022-01-21,417.9018
2022-01-24,419.6765
2022-01-25,414.5527
2022-01-26,413.5127
2022-01-27,411.4708
2022-01-28,421.6898
2022-01-31,429.2849
2022-02-01,432.1855
2022-02-02,436.3838
2022-02-03,426.1266
2022-02-04,428.1303
2022-02-07,426.7564
2022-02-08,430.2677
2022-02-09,436.5651
2022-02-10,428.7219
2022-02-11,420.2681
2022-02-14,418.8941
2022-02-15,425.6495
2022-02-16,426.1266
2022-02-17,417.024
2022-02-18,414.3237
2022-02-22,409.8773
2022-02-23,402.6066
2022-02-24,408.6655
2022-02-25,417.6823
2022-02-28,416.6137
2022-03-01,410.2685
2022-03-02,417.8159
2022-03-03,415.7358
